timepoint,mean_difference,max_difference
1,0.04370398,0.9592326
2,0.042468198,0.97992903
3,0.042542104,0.9817639
4,0.0423643,0.9902521
5,0.043111034,0.9885714
6,0.042670116,0.97372013
7,0.042262316,0.97269624
8,0.04418308,0.9764505
9,0.04415038,0.9954363
10,0.043634508,0.9634904
11,0.04411029,0.9561062
12,0.044018444,0.968321
13,0.044060715,0.9475537
14,0.044308983,0.9665948
15,0.044581756,0.95214283
16,0.04507101,0.97666067
17,0.04504724,0.96675193
18,0.044577807,0.95425785
19,0.044093847,0.9292086
20,0.044196952,0.953945
21,0.044954747,0.9844066
22,0.044734947,0.9927299
23,0.04479147,0.9927299
24,0.04561825,0.96896935
25,0.045238603,0.97336835
26,0.045325726,0.9423868
27,0.044863705,0.9670782
28,0.044539683,0.97623897
29,0.044305287,0.97892535
30,0.043746594,0.956832
31,0.043902636,0.9935783
32,0.04420776,0.9387608
33,0.04494562,0.9669482
34,0.045165487,0.9728097
35,0.046397105,0.98525417
36,0.046242006,0.98447806
37,0.046322934,0.9579954
38,0.046086155,0.96761906
39,0.047452845,0.9856454
40,0.046055526,0.94995284
41,0.046842277,0.9800194
42,0.04635398,0.9700619
43,0.047238447,0.9615319
44,0.046441093,0.9590032
45,0.046587758,0.9617106
46,0.046515286,0.9647013
47,0.0463325,0.9764842
48,0.04616899,0.97070163
49,0.046260584,0.98019046
50,0.046533287,0.9824762
51,0.045545407,0.93472487
52,0.045628447,0.9554308
53,0.04587926,0.9507503
54,0.04702437,0.9690642
55,0.04655861,0.9686775
56,0.04610156,0.95849055
57,0.04602384,0.9973585
58,0.046259858,0.9870772
59,0.046709202,0.95477
60,0.04692204,0.9719431
61,0.046860356,0.9573826
62,0.047008347,0.9546839
63,0.046210274,0.9790556
64,0.046874803,0.96071565
65,0.047529098,0.9709185
66,0.04764933,0.9739064
67,0.04647488,0.9692008
68,0.048921052,0.9508772
69,0.04797169,0.9717581
70,0.047656428,0.97039086
71,0.04910049,0.97749704
72,0.049043242,0.97428685
73,0.04813031,0.9664562
74,0.048955835,0.9686827
75,0.050139047,0.96584386
76,0.05122686,0.9855466
77,0.051066622,0.9656904
78,0.051141724,0.98033476
79,0.052186884,0.97789115
80,0.052271094,0.973572
81,0.051963918,0.97271955
82,0.052850146,0.9740536
83,0.05097366,0.9751579
84,0.05099271,0.9638199
85,0.05141806,1.0
86,0.051711854,0.97197896
87,0.052179463,0.97908497
88,0.052383035,0.949363
89,0.052957166,0.94129694
90,0.052959744,0.96094096
91,0.05191896,0.9573901
92,0.052658502,0.9902048
93,0.05341516,0.96335316
94,0.05366408,0.96772915
95,0.05325564,0.9564315
96,0.053797856,0.999063
97,0.054168593,0.96873564
98,0.05312591,0.95632184
99,0.05356571,0.9455198
100,0.053932175,0.9736098
101,0.054425396,0.98303485
102,0.05330251,0.98639137
103,0.05389342,0.94556546
104,0.05311822,0.9389187
105,0.053651854,0.9608026
106,0.05386712,0.95355535
107,0.054398943,0.9202658
108,0.05410723,0.9642346
109,0.054071065,0.948021
110,0.054046586,0.952902
111,0.054436766,0.95880926
112,0.05462165,0.9596696
113,0.055031147,0.91642374
114,0.055218417,0.94096017
115,0.054745965,0.9623734
116,0.053540185,0.9513213
117,0.052935652,0.9735744
118,0.052986924,0.9383566
119,0.052869316,0.9542365
